id,label
4015978858627054,HIGH
930314526019862,HIGH
1782075015765508,HIGH
1621808962186301,HIGH
271773981313109,LOW
800217366428283,HIGH
1564027014822023,HIGH
1695769414729084,HIGH
2995452774068010,LOW
910873742097377,LOW
1066710444519180,LOW
1595040712411881,LOW
1413218030258291,HIGH
930529727635791,LOW
892582993594664,HIGH
1237833154981402,HIGH
874322058742011,HIGH
1536277010806495,MEDIUM
1660037411759043,LOW
1417529643172240,HIGH
1206579754997451,HIGH
4378278552443003,HIGH
912048977941000,HIGH
1392836922218805,HIGH
1608594607254469,HIGH
1364603728798157,HIGH
27704017859278713,LOW
928599226282040,LOW
1111529501026212,HIGH
1415718183287972,HIGH
1243734127715352,MEDIUM
1631725428041236,MEDIUM
1413305532959071,HIGH
1549563699598946,LOW
1241881981211832,HIGH
1069785055308174,HIGH
1271545378231716,HIGH
944369511587908,HIGH
1447834570018556,HIGH
1416928660406729,LOW
1030089739833771,LOW
1571871120754391,HIGH
1525476895204333,MEDIUM
4413946412228146,HIGH
1627902015305303,HIGH
1296472049169351,LOW
1341525944329092,HIGH
917015841017364,HIGH
1235813531854141,HIGH
2182541682544961,LOW
1388371716398181,HIGH
1412628803645860,HIGH
1921931545098827,HIGH
931960913342010,HIGH
772356480661384,LOW
317417453109074,LOW
1943176632948495,MEDIUM
1051392480529444,LOW
1799861784009971,HIGH
876668865137256,HIGH
1217521273802717,HIGH
2289711791516676,HIGH
4517367138534819,MEDIUM
917399240817777,HIGH
2360849234416943,HIGH
1801422293878957,HIGH
793305963803419,LOW
1270267151620517,MEDIUM
880096721572910,HIGH
1971660330049893,LOW
1441190697586427,HIGH
1580351856889877,LOW
924512100038341,HIGH
763714820141680,HIGH
1086637153879643,LOW
2263166627505801,HIGH
1424999876089857,HIGH
1283481523590029,HIGH
1359057286373818,LOW
909297931647761,HIGH
3649207338551543,LOW
893422286769685,HIGH
1941158266793864,HIGH
901333182485708,HIGH
1850259716376879,HIGH
944196584645920,HIGH
1556956145415952,HIGH
831221213315204,LOW
1408290947635029,MEDIUM
1409807324378544,LOW
1452495073191030,HIGH
909400494908706,HIGH
2004977586714921,LOW
881670437797493,HIGH
1390076909472514,HIGH
910138254850911,HIGH
1715526976490099,LOW
2030262104214305,HIGH
4345132445505206,MEDIUM
1002718293877258,LOW
1543313853626229,LOW
881158954764110,HIGH
929131402796664,HIGH
1420295786487456,LOW
905078591905667,HIGH
877358381773741,MEDIUM
911103544903968,HIGH
2707230536279365,LOW
915589347690821,HIGH
1689603382205037,HIGH
2014692846130259,HIGH
2324493831364281,HIGH
2139176157008912,LOW
1228930939213296,HIGH
1541893836905968,HIGH
949806654799492,LOW
1072361858378847,MEDIUM
675374482265102,HIGH
2482413328884594,HIGH
2529300617494893,HIGH
890391217218852,HIGH
26385465107706435,HIGH
1078947131456428,LOW
2058411215002283,LOW
1677891353316157,LOW
1029372513199866,LOW
503179177694528,LOW
4301695756709130,HIGH
1102685822086094,LOW
1217277583861934,HIGH
4306426049636249,LOW
1242570447827238,LOW
1665890351215968,HIGH
1417741632882041,HIGH
1214390934095403,HIGH
1826796214944304,HIGH
1531684145399693,LOW
4695598384062754,LOW
25108403682169541,HIGH
880575618019286,HIGH
930968129523558,HIGH
1562366762367998,HIGH
2578944322478491,HIGH
1646104773227826,LOW
1557450421979698,LOW
1949709155963985,HIGH
2539124983232399,LOW
372617327506496,LOW
1351794653303612,HIGH
4364365813835657,MEDIUM
1930562754253784,HIGH
917059184158286,HIGH
1229588748613037,MEDIUM
1346994807136243,LOW
342557947314204,LOW
1548520933543124,LOW
1206048637899944,HIGH
1734069761070616,LOW
1449571106756873,HIGH
908833194851429,HIGH
1565397475089043,LOW
1252019153483136,LOW
2117564499074419,LOW
889687944032760,LOW
1558261148808811,HIGH
1261857169191982,HIGH
827057597018552,HIGH
2004730090478451,HIGH
4203461113254829,HIGH
1570520474197327,HIGH
1067296222253965,HIGH
908541421648273,HIGH
1272690874914530,HIGH
742976615275369,HIGH
1285414910079543,HIGH
1383384143112280,MEDIUM
698594394492861,LOW
2032894717280844,MEDIUM
2074567243277060,HIGH
4486404001594393,HIGH
2698454157173595,HIGH
881099021358668,HIGH
1610303490098286,HIGH
33686411041004532,HIGH
3909473212690875,HIGH
310311600588542,LOW
2306013509865980,MEDIUM
2102902307192795,HIGH
1075077865035050,LOW
895802626488735,HIGH
1627733675089707,HIGH
1232240921806626,MEDIUM
889487393692701,MEDIUM
2154635278681862,HIGH
1428294612257315,LOW
918488500652223,HIGH
792594919818772,HIGH
1593858221935587,HIGH
946782809411377,LOW
878974088315828,HIGH
1418315326430698,HIGH
1390742536166446,MEDIUM
1414255414100903,LOW
4607306902839353,LOW
1574113097179844,HIGH
1514242069668844,HIGH
1421191626460106,HIGH
923884630113685,HIGH
879282711744995,HIGH
1440347460779781,HIGH
930600189322308,HIGH
1258760372828699,HIGH
878047104991847,HIGH
920004878842290,LOW
1627753844898277,HIGH
776760831646033,HIGH
4460487970866722,HIGH
2046435609316990,LOW
1455124543306483,HIGH
1306876658126216,HIGH
1528864478386983,LOW
1220208650316186,HIGH
1576662126921640,HIGH
1225329956365590,HIGH
914895767684261,HIGH
914722320944192,HIGH
783725164138092,HIGH
891196427122391,HIGH
1600383095079617,LOW
26814438894813504,HIGH
946275222836307,LOW
1230922488446638,HIGH
2257744604986890,LOW
25627132210302557,HIGH
1317974150138997,MEDIUM
1418315123302676,HIGH
1216620880099321,HIGH
1293099965974440,HIGH
936154293866104,LOW
892306430187900,HIGH
881615304861996,HIGH
34171825729130431,HIGH
1324744656137063,LOW
204846614644053,LOW
1069550105346400,HIGH
1020167063857495,HIGH
803007723979602,LOW
1438128547684580,LOW
4470810126481488,LOW
1787749778574427,HIGH
1613666126332437,HIGH
1844171682966546,MEDIUM
753248608693195,LOW
923635153369711,LOW
1411505643150833,HIGH
1069430012651290,LOW
1141021578000435,HIGH
911899175126989,HIGH
1766068070756727,HIGH
1216044240678944,MEDIUM
26855071854083297,HIGH
1583910412921228,MEDIUM
1244759514422376,HIGH
1542653404284320,LOW
752096140936609,HIGH
1628752881877509,HIGH
1472186221135882,LOW
1989551678314561,MEDIUM
1055462650513311,LOW
843237670631983,LOW
1604917827055447,LOW
1334859327987162,HIGH
1555718365665230,HIGH
1803786150181400,HIGH
1223180023269830,HIGH
2383207755493924,HIGH
704631902617155,LOW
1449666436879446,HIGH
1457046352515279,HIGH
928369222892773,HIGH
1428658065879623,LOW
1211700744495813,MEDIUM
924097266790494,HIGH
1378348914430704,LOW
898670226251816,MEDIUM
1281560447216645,HIGH
903620575495046,LOW
1603280784041018,LOW
1444318446803351,HIGH
1398941508797506,LOW
1430873442008669,HIGH
1043038871689222,LOW
1227901505446389,HIGH
2013398282692386,LOW
855148494228742,HIGH
922608656898315,HIGH
25554208630948467,HIGH
3896942137092908,LOW
2704018066616200,HIGH
1461996062270079,HIGH
1402164141091262,HIGH
1739402780725080,LOW
1289232199701500,HIGH
1234392701496933,HIGH
1506173130865707,MEDIUM
1290266048136893,LOW
378400943515878,LOW
1410350027463210,HIGH
845361761859253,HIGH
910275598046150,HIGH
1355704499937248,MEDIUM
2055718358485624,LOW
307545497605473,LOW
888451677113723,MEDIUM
1105802724960758,MEDIUM
27643747838630886,LOW
459961579098523,LOW
829823403407916,HIGH
526627215164096,LOW
2215094082656256,HIGH
1415241166808709,HIGH
2963821827300673,LOW
921069234211050,HIGH
722670332430165,LOW
2000577007159028,MEDIUM
953156913950596,HIGH
10010346249089695,HIGH
1454929992923574,HIGH
1904333810176257,HIGH
1415979060591672,LOW
813895395043717,HIGH
1238645511529483,HIGH
1152660348574270,LOW
884300127662961,MEDIUM
1794726284874170,LOW
1227818039433736,LOW
1603132934070102,HIGH
1106050664943146,HIGH
1459907946019653,LOW
903417248760041,HIGH
2376254776172701,MEDIUM
927204079991135,HIGH
1895331647766211,HIGH
1530110628078455,HIGH
914642192663230,LOW
841862379745917,LOW
915505994336063,HIGH
1403665227895529,MEDIUM
1438657537339337,HIGH
